Year, 2017, Month, 0, OMonth, 1, Dr, 2, Clwn, 1, Grn, 1.58, T, 24.65, Precip, 8.21
Year, 2017, Month, 1, OMonth, 2, Dr, 1, Clwn, 2, Grn, 1.32, T, 37.28, Precip, 9.12
Year, 2017, Month, 2, OMonth, 3, Dr, 2, Clwn, 0, Grn, 8.19, T, 48.37, Precip, 12.03
Year, 2017, Month, 3, OMonth, 4, Dr, 3, Clwn, 1, Grn, 11.00, T, 56.80, Precip, 13.54
Year, 2017, Month, 4, OMonth, 5, Dr, 4, Clwn, 2, Grn, 9.92, T, 58.45, Precip, 8.63
Year, 2017, Month, 5, OMonth, 6, Dr, 5, Clwn, 3, Grn, 8.18, T, 59.98, Precip, 7.50
Year, 2017, Month, 6, OMonth, 7, Dr, 6, Clwn, 4, Grn, 5.82, T, 70.77, Precip, 3.54
Year, 2017, Month, 7, OMonth, 8, Dr, 5, Clwn, 5, Grn, 2.82, T, 62.02, Precip, 1.04
Year, 2017, Month, 8, OMonth, 9, Dr, 0, Clwn, 3, Grn, 0.35, T, 61.08, Precip, 1.89
Year, 2017, Month, 9, OMonth, 10, Dr, 1, Clwn, 1, Grn, 0.40, T, 35.61, Precip, 1.60
Year, 2017, Month, 10, OMonth, 11, Dr, 0, Clwn, 0, Grn, 3.16, T, 32.38, Precip, 3.29
Year, 2017, Month, 11, OMonth, 12, Dr, 1, Clwn, 0, Grn, 6.01, T, 31.19, Precip, 5.09
Year, 2018, Month, 0, OMonth, 13, Dr, 2, Clwn, 1, Grn, 8.40, T, 20.71, Precip, 7.81
Year, 2018, Month, 1, OMonth, 14, Dr, 3, Clwn, 2, Grn, 7.59, T, 30.86, Precip, 8.62
Year, 2018, Month, 2, OMonth, 15, Dr, 4, Clwn, 3, Grn, 9.49, T, 49.93, Precip, 12.18
Year, 2018, Month, 3, OMonth, 16, Dr, 5, Clwn, 4, Grn, 10.33, T, 60.94, Precip, 12.01
Year, 2018, Month, 4, OMonth, 17, Dr, 6, Clwn, 5, Grn, 7.93, T, 55.58, Precip, 9.54
Year, 2018, Month, 5, OMonth, 18, Dr, 0, Clwn, 6, Grn, 5.63, T, 63.65, Precip, 6.04
Year, 2018, Month, 6, OMonth, 19, Dr, 0, Clwn, 4, Grn, 5.66, T, 69.96, Precip, 5.14
Year, 2018, Month, 7, OMonth, 20, Dr, 1, Clwn, 2, Grn, 5.66, T, 61.26, Precip, 0.20
